pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Cognivue	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12361691/	XML		unknown_publisher	The Bio-Hermes Study was sponsored by the Global Alzheimer's Platform Foundation and recruited 1,296 individuals from 17 US research sites with expertise in AD clinical trials from April 2021 through November 2022. A total of 1,001 participants were enrolled, of which 964 had valid and complete Cognivue Clarity scores, 920 completed amyloid PET scans, and 887 completed both Cognivue Clarity and amyloid PET scans. The study included participants aged 60-85 who were fluent in English or Spanish with MMSE scores between 20-30. The final analysis included 505 individuals: 297 True Controls (cognitively normal/amyloid negative), 95 Preclinical AD (cognitively normal/amyloid positive), and 113 MCI-AD (cognitively impaired/amyloid positive). Participants underwent Cognivue Clarity testing, amyloid PET imaging using 18F-Florbetapir, and plasma biomarker collection including Aβ40, Aβ42, pTau181, and pTau217 measurements.	Alzheimer's disease, amyloid biomarkers, cognitive assessment, preclinical AD	Primary		
Cognivue	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11489461/	XML	NCT04733989	clinicaltrials.gov	The Bio-Hermes Study was a cross-sectional observational study designed to develop a database of blood-based and digital biomarkers to improve detection of Alzheimer's disease (AD) and mild cognitive impairment (MCI). Between April 2021 and November 2022, 17 research sites with expertise in AD clinical trials recruited 1296 participants from their community-based populations. After screening, 1001 participants were enrolled of which 960 had valid and complete CognivueClarityassessment, 920 completed amyloid PET scans, and 887 completed both CognivueClarity and amyloid PET scans. The study enrolled 388 Cognitively Normal, 282 MCI, and 217 Probable AD participants. Participants were age 60-85, fluent in English or Spanish, with MMSE scores 20-30 inclusive.	Alzheimer's disease, biomarkers, cognitive assessment	Primary		
The Bio‐Hermes Study: Biomarker database developed to investigate blood‐based and digital biomarkers in community‐based, diverse populations clinically screened for Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11032569/	XML	NCT04733989	clinicaltrials.gov	The Bio-Hermes Study is registered on ClinicalTrials.gov (NCT04733989). From April 2021 through November 2022, 17 research sites recruited 1296 study participants from their community-based populations and enrolled 1001 into the Bio-Hermes Study. Participants were stratified into three cohorts: cognitively normal (n=417), mild cognitive impairment (n=312), or mild AD (n=272). The study collected blood samples for biomarker analyses including Aβ40, Aβ42, Aβ42/Aβ40, total tau, p-tau181, and p-tau217, and brain amyloid PET scans or CSF analysis (n=956) to determine amyloid positivity. The study included 755 non-Hispanic White, 115 Hispanic, 112 non-Hispanic Black, and 19 other minority participants.	Alzheimer's disease biomarkers, blood-based biomarkers, amyloid positivity, diverse populations	Primary		
Digital Clock and Recall is superior to the Mini-Mental State Examination for the detection of mild cognitive impairment and mild dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10759368/	XML		alzheimer's disease data initiative  addi  workbench	706 participants from the prospective, multisite Bio-Hermes study organized by the Global Alzheimer's Platform (GAP), classified into three cohorts: cognitively unimpaired (CU; n=360), mild cognitive impairment (MCI; n=234), or probable Alzheimer's dementia (pAD; n=111). Participants performed neuropsychological tests including MMSE, RAVLT, TMT-B, FAQ, and the Digital Clock and Recall (DCR) assessment. Data includes age (mean ± SD = 71.5 ± 6.7), demographics (58.9% female, 85.1% White, 11.7% Black or African-American, 2.2% Asian, 9.3% Hispanic or Latino), years of education (mean ± SD = 15.4 ± 2.7), and cognitive assessment scores used to evaluate DCR versus MMSE performance for detecting mild cognitive impairment and early dementia.	cognitive assessment, Alzheimer's disease, mild cognitive impairment	Secondary		
Stable episodic memory and high education do not influence the rate of Alzheimer’s disease pathology as measured by plasma p-tau217	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13131451/	XML	Betula	www.umu.se	Population-based longitudinal study conducted in Umeå, Sweden. Participants were randomly sampled from the population registry and stratified by age and sex. The study included 1005 participants from longitudinal Betula cohorts S1 and S3 with available plasma samples at wave 3 (W3; 1998–2001), with 526 participants having follow-up plasma samples at wave 5 (W5; 2008–2010), yielding a total of 1531 samples. All participants were aged over 50 years and had previously defined cognitive profiles based on episodic memory performance. Six main data collection waves (W1-W6; 1988–2014) have been completed at approximately five-year intervals, each including a wide range of health and cognitive assessments. Blood sampling was part of the protocol at all waves, with plasma collection introduced at wave 3.	longitudinal cognitive aging, plasma biomarkers, episodic memory	Primary		
Stable episodic memory and high education do not influence the rate of Alzheimer’s disease pathology as measured by plasma p-tau217	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13131451/	XML	BioFINDER-2	biofinder.se	Swedish independent replication cohort used to test the association between p-tau217 levels and education. This analysis included 388 cognitively unimpaired individuals aged over 50 years who had available p-tau217 levels quantified using the same assay as the Betula study. The classification of being cognitively unimpaired has been previously described.	cognitively unimpaired, plasma p-tau217, Alzheimer's disease biomarkers	Secondary		
Comparability of Centiloid values from [	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13125180/	XML	GE-067-017	not specified	Test-retest dataset acquired for 5 individuals with Alzheimer's Disease from a Japanese Phase 2 study with scans acquired 1-4 weeks apart on a Discovery 690 or Advance scanner (GE HealthCare). All participants were injected with ∼120 MBq of [18F]flutemetamol at each of the 2 timepoints. PET images were acquired from ∼90 min to 120 min post injection.	[18F]flutemetamol, test-retest, Alzheimer's Disease	Primary		
Comparability of Centiloid values from [	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13125180/	XML	ALZ201	not specified	Test-retest dataset acquired for 5 individuals with Alzheimer's Disease from a European Phase 2 study with scans acquired seven days apart on a ECAT EXACT HR + scanner (Siemens Healthineers). All participants were injected with ∼120 MBq of [18F]flutemetamol at each of the 2 timepoints. PET images were acquired from ∼85 min to 115 min post injection.	[18F]flutemetamol, test-retest, Alzheimer's Disease	Primary		
Comparability of Centiloid values from [	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13125180/	XML	GE-067-005	not specified	A cohort of 80 individuals with amnestic mild cognitive impairment (aMCI) who had taken part in a GE HealthCare sponsored Phase 3 clinical trial aimed at determining the proportions of Aβ-negative and Aβ-positive images and to predict future clinical progression relative to amyloid status. Participants were injected with ∼185 MBq of intravenous [18F]flutemetamol and underwent a brain scan starting ∼90 min post-injection for a duration of 30 min, collected in six 5-min frames. Multiple scanners were used: GE Advance, GE Discovery RX, Phillips Allegro Body, Phillips Gemini, Siemens HR+ and CPS 1080.	[18F]flutemetamol, amnestic mild cognitive impairment, amyloid burden	Primary		
Comparability of Centiloid values from [	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13125180/	XML	BioFINDER-1	biofinder.se	A dataset of 110 individuals from the BioFINDER-1 study (NCT01208675) selected based on Centiloid values being between 0 and 50. This cohort was used specifically to enrich the analysis with scans around potential clinical decision thresholds. Participants were injected with ∼185 MBq of intravenous [18F]flutemetamol and underwent a brain scan starting ∼90 min post-injection for a duration of 20 min on a Gemini TF 16 (Philips HealthCare), collected in four 5 minute frames.	[18F]flutemetamol, amyloid positivity threshold, clinical decision thresholds	Secondary		
Clinical staging in Swedish primary care using the Amsterdam Instrumental Activities of Daily Living Questionnaire	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13109652/	XML		biofinder.se	Participants from the Swedish BioFINDER Primary Care study (NCT06120361) with ongoing recruitment from approximately 25 public and private primary care centers in southern Sweden. After basic clinical evaluations in primary care, participants were referred to the Memory Clinic of Skåne University Hospital for advanced work-up. Data were collected between September 2020 and April 2024. The study included 623 participants with mean age 76.7 years, of which 148 (23.8%) had subjective cognitive decline, 274 (43.9%) mild cognitive impairment, and 201 (32.3%) dementia. Participants completed the Amsterdam Instrumental Activities of Daily Living Questionnaire (A-IADL-Q) and underwent cognitive testing including MMSE and MoCA, with clinical staging determined through consensus meeting including dementia specialists and neuropsychologists.	cognitive decline, dementia, primary care, Alzheimer's disease	Primary		
Trajectories of plasma and CSF MTBR-tau243 and phosphorylated-tau species across the Alzheimer’s disease continuum	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13065743/	XML	BioFINDER-2	nct03174938	The Swedish BioFINDER-2 study was used as the primary data source. The CSF cohort consisted of 446 participants (183 cognitively unimpaired and 263 cognitively impaired patients with MCI or dementia) with mass spectrometry measurements of plasma and CSF tau species, including eMTBR-tau243/MTBR-tau243 and phosphorylation occupancies (%p-tau). The plasma cohort consisted of 784 participants (331 cognitively normal and 453 impaired patients). Participants were recruited at Skåne University Hospital and the Hospital of Ängelholm in Sweden between April 2017 and March 2022. The study included longitudinal PET data from 1408 individuals for Aβ-PET (686 longitudinal with average 2.33 scans) and 2003 individuals for tau-PET (922 with longitudinal data, average 2.35 scans). Disease duration was estimated using Aβ-PET and tau-PET with the SILA algorithm.	Alzheimer's disease biomarkers, tau phosphorylation, amyloid-beta PET	Primary		
Eligibility for amyloid targeting therapies among primary care patients with cognitive symptoms	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13064071/	XML		biofinder.se	Prospective cohort study of patients presenting with cognitive symptoms in primary care across region Skåne, southern Sweden, recruited between January 2020 and April 2025. The study included 607 participants who underwent full diagnostic work-up including cognitive testing, MRI, lumbar puncture for CSF biomarkers (Aβ42/40 ratio measured with Lumipulse assay), and 18F-flutemetamol PET imaging. Participants were evaluated for eligibility for amyloid-targeting therapies (lecanemab and donanemab) based on Appropriate Use Recommendations. The study assessed the proportion of primary care patients with cognitive symptoms who meet clinical eligibility criteria for anti-amyloid therapies, finding that 14.2% met criteria for lecanemab and 12.8% for donanemab.	Alzheimer's disease, primary care, cognitive impairment, biomarkers	Primary		
Integration of plasma eMTBR-tau243 and p-tau217 in the diagnosis and stratification of Alzheimer’s disease: a multi-cohort study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13092276/	XML	NCT03174938	clinicaltrials.gov	Swedish BioFINDER-2 study: prospective cohort study including patients consecutively recruited at two memory clinics in Sweden between May 18th 2017 and September 8th 2023. Participants had subjective cognitive decline (SCD), mild cognitive impairment (MCI), or dementia. Data were collected prospectively specifically for the purposes of this study. The study included 572 patients (291 females and 281 males) with cognitive symptoms: 142 subjective cognitive decline, 259 mild cognitive impairment, 171 dementia patients. Follow-up data collection was done until September 9th 2024. Plasma biomarkers (p-tau217 and eMTBR-tau243) were measured using mass spectrometry techniques. CSF biomarkers, PET imaging (amyloid and tau PET), and cognitive assessments were also collected.	Alzheimer's disease, plasma biomarkers, cognitive decline	Primary		
Integration of plasma eMTBR-tau243 and p-tau217 in the diagnosis and stratification of Alzheimer’s disease: a multi-cohort study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13092276/	XML		knight alzheimer disease research center, washington university school of medicine	Validation cohort from the Knight Alzheimer Disease Research Center including individuals determined to be unimpaired or have cognitive impairment (global Clinical Dementia Rating, CDR, 0, 0.5–2). N=52 cognitively impaired participants (39 CDR 0.5, 12 CDR 1, and one CDR 2). Aβ PET was performed with [11]PiB or [18F]florbetapir. Tau PET was performed with [18F]flortaucipir. A subset of Knight ADRC individuals (N=80) was assessed with neuropathology data, including CERAD neuritic plaque score and Braak tangle stage. Used to validate findings from BioFINDER-2 study regarding plasma biomarker performance for identifying established AD.	Alzheimer's disease, neuropathology, PET imaging	Secondary		
Checking your browser - reCAPTCHA	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12889788/	HTML		content blocked by recaptcha	The provided HTML content is a reCAPTCHA challenge page from Google, not actual research publication content. The page shows a security verification screen for accessing pmc.ncbi.nlm.nih.gov but does not contain any research paper text, methodology, datasets, or scientific information that would allow dataset extraction.	reCAPTCHA, security verification, no research content	Secondary		
Dynamical	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12873951/	XML	ADNI	adni.loni.usc.edu	The Alzheimer's Disease Neuroimaging Initiative (ADNI) database was used to obtain longitudinal Aβ PET, tau PET and structural MRI data. The study used A+T+ subjects with at least two Aβ PET scans and at least three tau PET scans. In total, there were N=34 subjects in ADNI with mean duration between baseline and final scan of 3.6 and 3.3 years for Aβ and tau PET, respectively. The cohort was dominated by AD subjects with a higher average centiloid (mean ± SD = 84 ± 34). Data were used to calibrate the dynamical ATN (dATN) model using multimodal longitudinal imaging biomarkers.	Alzheimer's disease, PET imaging, longitudinal biomarkers	Secondary		
Dynamical	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12873951/	XML	BioFINDER-2	clinicaltrials.gov	The BioFINDER-2 study provided longitudinal Aβ PET, tau PET and structural MRI data. The study used A+T+ subjects with at least two Aβ PET scans and at least three tau PET scans. In total, there were N=48 subjects in BF2 with mean duration of 4.2 years for Aβ and tau PET. The cohort was dominated by MCI subjects with a lower average centiloid (mean ± SD = 73 ± 32). Data were used to calibrate the dATN model and validate findings across different cohorts and tracers.	Alzheimer's disease, tau PET, amyloid PET	Secondary		
Dynamical	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12873951/	XML		www.humanconnectome.org	Diffusion weighted MRI images from 150 individuals in the Human Connectome Project were processed using probtrackx in FSL to derive a normative connectome from young healthy individuals. The streamlines were summarized on the Desikan-Killiany atlas comprising 68 cortical regions plus bilateral amygdala and hippocampus (R=72 regions total). This connectome was used to model the transport of tau along axonal connections in the dATN model.	diffusion MRI, brain connectome, structural connectivity	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	ADNI	adni.loni.usc.edu	ADNI is a longitudinal, multi-center observational program (2004–present) designed to validate imaging and fluid biomarkers for AD trials, with serial 3D MRI and PET (amyloid, tau, FDG), CSF, genetics, and standardized clinical assessments at roughly 6–12-month intervals. The study evaluated the proposed multimodal SSL framework on ADNI, achieving 93.0% balanced accuracy and 0.96 AUC for AD vs. CN classification, and used ADNI data for pretraining across multiple phases (ADNI-1, ADNI-GO/2/3).	Alzheimer's disease, MRI, PET imaging, longitudinal biomarkers	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	OASIS-3	www.oasis-brains.org	OASIS-3 aggregates ~15 years of imaging/clinical data from the Knight ADRC with ~1098 participants, including cognitively normal aging through symptomatic AD. It offers >2100 MRI sessions and ~1400–1500 PET sessions (amyloid and FDG) plus processed derivatives; many participants have multi-year longitudinal follow-up. The framework achieved 78.0% BACC on OASIS-3 when trained on ADNI, demonstrating cross-cohort generalization.	Alzheimer's disease, structural MRI, amyloid PET, longitudinal follow-up	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	AIBL	www.aibl.csiro.au	AIBL is a prospective cohort launched in 2006 to study lifestyle and biomarker predictors of AD. The baseline cohort comprised 1112 older adults (768 CN/133 MCI/211 AD) with ~18-month reassessments; imaging includes high-resolution MRI and an amyloid PET subset. The proposed model achieved 77.5% BACC on AIBL when trained on ADNI, demonstrating robustness to demographic differences.	Alzheimer's disease, MRI, amyloid PET, lifestyle factors	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	BioFINDER	www.biofinder.se	BioFINDER is an ongoing Swedish longitudinal program focused on multimodal biomarker discovery and validation across the AD spectrum, with MRI, amyloid PET, tau PET, FDG-PET, CSF, and cognitive testing; BioFINDER-2 includes large prospective cohorts spanning CU through dementia with ~1400–2000 participants. The framework achieved 85.0% BACC and 0.89 AUC for AD vs. CN classification, and demonstrated improved biomarker prediction (amyloid 83%, tau 75%).	Alzheimer's disease, multimodal biomarkers, tau PET, amyloid PET	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	TADPOLE	tadpole.grand-challenge.org	TADPOLE is a prognosis benchmark built from ADNI data, tasking models to forecast 5-year outcomes—diagnosis (CN/MCI/AD), ADAS-Cog13, and ventricular volume—for 219 'rollover' subjects using multimodal baselines (MRI, PET, CSF, APOE, cognition). The proposed framework achieved 84.0% BACC, 0.85 AUC, and 0.82 C-index for MCI-to-AD conversion prediction, outperforming prior methods.	Alzheimer's disease, MCI conversion, longitudinal prognosis, survival analysis	Secondary		
Multimodal Self-Supervised Learning for Early Alzheimer’s: Cross-Modal MRI–PET, Longitudinal Signals, and Site Invariance	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12732103/	XML	MIRIAD	www.ucl.ac.uk	MIRIAD comprises 69 adults (46 AD, 23 CN) scanned up to eight times over 2 years on the same 1.5T system with tightly controlled intervals (weeks to months). Standardized T1 MRI and consistent setup enable precise separation of true atrophy from measurement noise. The proposed framework achieved 87.0% BACC, 0.88 AUC, ICC of 0.91, and 76.5% atrophy sensitivity, demonstrating robust test–retest reliability and sensitivity to longitudinal change.	Alzheimer's disease, longitudinal MRI, atrophy measurement, test-retest reliability	Secondary		
Prediction of continuous amyloid positron emission tomography with fluid measures of phosphorylated tau and β-amyloid	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12808103/	XML	BioFINDER-2	clinicaltrials.gov	Swedish BioFINDER-2 cohort with N=1053 participants (51.8% female, mean age 66.5) used for model development and feature engineering. Participants included cognitively unimpaired (50.8% normal controls, 19.0% subjective cognitive decline), mild cognitive impairment (28.5%), and dementia (1.7%). Overall Aβ-PET positivity rate was 37.1%. The study focused on participants with plasma P-tau217 data measured with mass spectrometry. Participants underwent baseline examination from 2017 to 2024 and provided plasma and cerebrospinal fluid biomarkers, cognitive assessments, and Aβ-PET imaging.	Alzheimer's disease, biomarkers, amyloid-PET	Primary		
Prediction of continuous amyloid positron emission tomography with fluid measures of phosphorylated tau and β-amyloid	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12808103/	XML	BioFINDER-1	clinicaltrials.gov	Swedish BioFINDER-1 cohort with N=238 participants (mean age 72.3, 50.4% female) used for external validation of predictive models. Participants included cognitively normal (30.7%), subjective cognitive decline (29.4%), and mild cognitive impairment (39.9%). Aβ-PET positivity rate was 47.5%. All participants had plasma P-tau217 measurements by Lilly immunoassay and CSF Aβ42/Aβ40 measurements. Participants were enrolled from 2011 to 2018.	Alzheimer's disease, external validation, biomarkers	Primary		
P-TAU205 IS A BIOMARKER LINKED TO TAU-PET ABNORMALITY: A CROSS-SECTIONAL AND LONGITUDINAL STUDY	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12633613/	XML	BioFINDER-1	clinicaltrials.gov	Swedish cohort study with 705 participants spanning the full AD continuum. Participants were stratified as cognitively unimpaired (CU− and CU+), mild cognitive impairment (MCI+), and non-AD patients. The cohort had longer follow-up (up to 10 years) allowing accurate tracking of disease progression. All participants underwent lumbar puncture with CSF collection at baseline. CSF p-tau205 measurements were performed using an in-house immunoassay developed at the University of Gothenburg on a Simoa HD-X platform.	Alzheimer's disease, cerebrospinal fluid biomarkers, longitudinal cohort	Primary		
P-TAU205 IS A BIOMARKER LINKED TO TAU-PET ABNORMALITY: A CROSS-SECTIONAL AND LONGITUDINAL STUDY	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12633613/	XML	BioFINDER-2	clinicaltrials.gov	Swedish cohort study with 1,364 participants with more extensive phenotyping and broader number of biomarkers compared to BioFINDER-1. Participants were distributed across the AD continuum: cognitively unimpaired (CU−, n=457; CU+, n=181), mild cognitive impairment (MCI+, n=175), AD dementia (n=184), and other neurodegenerative diseases (non-AD+, n=78; non-AD−, n=289). All participants underwent lumbar puncture with CSF collection at baseline. Imaging included Aβ-PET using [18F]flutemetamol and tau-PET using [18F]RO948. MRI with high-resolution T1-weighted MPRAGE images was acquired for cortical thickness assessment.	Alzheimer's disease, biomarkers, PET imaging, neurodegeneration	Primary		
Biological classification of memory clinic patients	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058467/	XML	BioFINDER-2	www.biofinder.se	Prospective cohort study spanning the full spectrum of the AD continuum, ranging from neurologically and cognitively healthy controls, adults with subjective cognitive decline (SCD), mild cognitive impairment (MCI) to AD dementia, as well as patients with non-AD neurodegenerative diseases. Participants were recruited at Skåne University Hospital and the Hospital of Ängelholm, Sweden. The study included 1677 individuals with baseline data on CSF SAA-derived α-syn status, CSF Aβ42/Aβ40, tau PET and MRI measures. Participants underwent comprehensive biomarker assessment including CSF markers, PET imaging (tau and amyloid), MRI (structural, functional, and diffusion), and clinical cognitive assessments.	neurodegenerative disease biomarkers, Alzheimer's disease, cognitive decline, multimodal imaging	Primary		
Reference proteins to improve Core 1 and Core 2 Alzheimer’s disease CSF and plasma biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058454/	XML	BioFINDER-2	bf_executive@med.lu.se	Swedish BioFINDER-2 cohort (enrolment from 2017 and still enrolling, NCT03174938) with 1702 participants (50.7% male, mean age 68.4 years). Included individuals with normal cognition, subjective cognitive decline, mild cognitive impairment, AD dementia or other neurodegenerative disease. All participants underwent tau-PET and/or Aβ-PET with CSF and plasma biomarker measurements. Used for main analyses comparing associations between tau/Aβ-PET load and fluid biomarkers normalized to reference proteins.	Alzheimer's disease, biomarkers, PET imaging, CSF, plasma	Primary		
Reference proteins to improve Core 1 and Core 2 Alzheimer’s disease CSF and plasma biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058454/	XML	BioFINDER-1	bf_executive@med.lu.se	Swedish BioFINDER-1 cohort (enrolment between 2010 and 2015, NCT01208675) with 790 participants included with two or more longitudinal fluid biomarker measures. Consisted of individuals with normal cognition, subjective cognitive decline, mild cognitive impairment, AD dementia or other neurodegenerative disease. Used for longitudinal analyses examining intra-individual and interindividual biomarker variability over 6-10 years of follow-up.	Alzheimer's disease, longitudinal biomarkers, cognitive decline	Primary		
Reference proteins to improve Core 1 and Core 2 Alzheimer’s disease CSF and plasma biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058454/	XML		unknown_publisher	Knight Alzheimer Disease Research Center (Knight ADRC) from Washington University, USA with 376 participants included. Prospective cohort with individuals spanning cognitive spectrum from normal cognition to dementia with measurements of CSF and plasma biomarkers and Aβ- and/or tau-PET. Used for replication analyses of reference protein normalization effects.	Alzheimer's disease, biomarkers, PET imaging, replication cohort	Primary		
Reference proteins to improve Core 1 and Core 2 Alzheimer’s disease CSF and plasma biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058454/	XML	TRIAD	translational biomarkers in aging and dementia, mcgill university	Translational Biomarkers in Aging and Dementia (TRIAD) cohort from McGill University, Canada with 190 participants included. Prospective cohort with individuals spanning cognitive spectrum from normal cognition to dementia with CSF and plasma biomarker measurements and Aβ- and/or tau-PET. Also used for exploring generalization of reference protein normalization to neuroinflammatory markers with TSPO-PET imaging.	Alzheimer's disease, biomarkers, PET imaging, neuroinflammation	Primary		
Reference proteins to improve Core 1 and Core 2 Alzheimer’s disease CSF and plasma biomarkers	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13058454/	XML		university of perugia, italy	Multiple sclerosis (MS) cohort from University of Perugia, Italy with 56 participants. Included CSF OLINK inflammatory panel and CSF Aβ40 measurements. Used to explore generalization properties of CSF Aβ40 normalization for inflammatory biomarkers in non-AD neurological disease context.	multiple sclerosis, CSF biomarkers, neuroinflammation	Primary		
Cell-weighted polygenic risk scores are associated with β-amyloid and tau biomarkers in Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12484444/	XML	BioFINDER-1	www.lund.se	The study included 734 cognitively unimpaired older adults, 235 patients with mild cognitive impairment, 97 Alzheimer's disease dementia patients and 227 non-Alzheimer's disease patients from the Swedish BioFINDER-1 study (clinical trial no. NCT01208675). Participants provided cerebrospinal fluid samples for analysis of β-amyloid and phosphorylated tau biomarkers. Genotyping was performed using the Illumina GSA-MDA v2 platform. The study tested associations between cell-weighted polygenic risk scores and Alzheimer's disease biomarkers including CSF Aβ1–42/Aβ1–40 ratio and CSF pTau217.	Alzheimer's disease, cerebrospinal fluid biomarkers, genetic data	Primary		
Cell-weighted polygenic risk scores are associated with β-amyloid and tau biomarkers in Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12484444/	XML	BioFINDER-2	www.lund.se	An independent cohort of 773 cognitively unimpaired individuals, 358 patients with mild cognitive impairment, 286 Alzheimer's disease dementia patients and 319 non-Alzheimer's disease patients from the Swedish BioFINDER-2 study (clinical trial no. NCT03174938) was used for replication. Genotyping was performed using the Illumina GSA-MDA v3 platform. Cell-weighted PRS associations with Aβ status and CSF pTau217 were successfully replicated in BioFINDER-2, showing similar results as in BioFINDER-1.	Alzheimer's disease, biomarker replication, genetic variants	Primary		
Cell-weighted polygenic risk scores are associated with β-amyloid and tau biomarkers in Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12484444/	XML		celltypes.brain-map.org	Single-cell RNA sequencing data from the middle temporal gyrus (MTG) available from the Allen Brain Atlas consortium was used to generate cell-weighted polygenic risk scores. The dataset includes single-nucleus transcriptomes from 166,868 nuclei derived from five post-mortem human brain specimens. Cell-type-specific gene expression patterns were calculated for six cell types: astrocytes, excitatory neurons, inhibitory neurons, microglia, oligodendrocyte precursor cells and oligodendrocytes. The MTG was selected because it is one of the first brain regions to show atrophy in early Alzheimer's disease.	single-cell RNA-seq, brain cell types, gene expression	Secondary		
Cell-weighted polygenic risk scores are associated with β-amyloid and tau biomarkers in Alzheimer’s disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12484444/	XML		www.nature.com	Publicly available summary statistics from published Alzheimer's disease genome-wide association studies (non-overlapping with the BioFINDER dataset) were utilized to define polygenic risk scores. SNPs were selected based on different P-value thresholds ranging from P-value < 0.05 to P-value < 5e−08. The GWAS summary statistics provided variant weights that were multiplied by cell-weighted scores to generate cell-specific polygenic risk scores.	GWAS, Alzheimer's disease, genetic variants	Secondary		
Hemispheric asymmetry of tau pathology is related to asymmetric amyloid deposition in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/	XML	BioFINDER-2	swedish biofinder cohort	A sample of 837 Aβ-positive participants with available tau-PET scans from the BioFINDER-2 cohort was included. The cohort consisted of both clinically unimpaired and clinically impaired participants. A cross-sectional sample of 452 subjects with evidence of tau pathology (A+T+) based on temporal tau-PET uptake was selected and categorized into three groups according to spatial distribution of tau. Participants underwent PET scans (tau-PET using [18F]RO948 and Aβ-PET using [18F]flutemetamol), MRI imaging including resting-state functional MRI, diffusion MRI, and T1-weighted structural images. A longitudinal subsample of 289 A+ participants with at least two available tau-PET scans and Aβ-PET scan at baseline was also included.	tau pathology, amyloid-beta, Alzheimer's disease, neuroimaging	Primary		
Hemispheric asymmetry of tau pathology is related to asymmetric amyloid deposition in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12413461/	XML	OASIS-3	sites.wustl.edu	Open Access Series of Imaging Studies (OASIS-3) was used as an independent replication cohort. Only A+T+ subjects with at least one Aβ-PET and one tau-PET scan available were selected. OASIS-3 used [11C]PiB (SUVR > 1.42) and [18F]florbetapir (SUVR > 1.19) tracers for Aβ imaging and [18F]flortaucipir PET for tau imaging. The association between laterality of Aβ and tau distribution was replicated with similar effect sizes compared to the main cohort (n = 46; β = 0.499, p = 0.001).	amyloid-beta, tau, Alzheimer's disease, PET imaging	Secondary		
